"Aktuell: Zeit (s)","Aktuell: Potenzial 1 (V)","Aktuell: Potenzial 2 (V)","Aktuell: Potenzial 3 (V)"
70.47,0.0259399414062,-0.0326156616211,4.9919128418
70.48,0.0228881835938,-0.0387191772461,4.98580932617
70.49,0.0289916992188,-0.0387191772461,4.98580932617
70.5,0.0259399414062,-0.0356674194336,4.98886108398
70.51,0.0259399414062,-0.0295639038086,4.9919128418
70.52,0.0289916992188,-0.0326156616211,4.98580932617
70.53,0.0259399414062,-0.0265121459961,4.98580932617
70.54,0.0259399414062,-0.0326156616211,4.98275756836
70.55,0.0198364257812,-0.0265121459961,4.98580932617
70.56,0.0259399414062,-0.0295639038086,4.9919128418
70.57,0.0228881835938,-0.0265121459961,4.9919128418
70.58,0.0137329101562,-0.0265121459961,4.9919128418
70.59,0.0137329101562,-0.0295639038086,4.9919128418
70.6,0.0167846679688,-0.0265121459961,4.98580932617
70.61,0.0198364257812,-0.0295639038086,4.9919128418
70.62,0.0259399414062,-0.0265121459961,4.98886108398
70.63,0.0259399414062,-0.0356674194336,4.9919128418
70.64,0.0289916992188,-0.0326156616211,4.9919128418
70.65,0.0259399414062,-0.0356674194336,4.98886108398
70.66,0.0228881835938,-0.0326156616211,4.98886108398
70.67,0.0289916992188,-0.0295639038086,4.98886108398
70.68,0.0259399414062,-0.0356674194336,4.98886108398
70.69,0.0289916992188,-0.0295639038086,4.98580932617
70.7,0.0259399414062,-0.0295639038086,4.98886108398
70.71,0.0289916992188,-0.0295639038086,4.9919128418
70.72,0.0259399414062,-0.0326156616211,4.98886108398
70.73,0.0259399414062,-0.0265121459961,4.98886108398
70.74,0.0259399414062,-0.0326156616211,4.98275756836
70.75,0.0167846679688,-0.0265121459961,4.98580932617
70.76,0.0228881835938,-0.0295639038086,4.9919128418
70.77,0.0228881835938,-0.0295639038086,4.9919128418
70.78,0.0137329101562,-0.0265121459961,4.9919128418
70.79,0.0167846679688,-0.0295639038086,4.9919128418
70.8,0.0167846679688,-0.0265121459961,4.98275756836
70.81,0.0167846679688,-0.0326156616211,4.9919128418
70.82,0.0259399414062,-0.0295639038086,4.9919128418
70.83,0.0259399414062,-0.0326156616211,4.9919128418
70.84,0.0259399414062,-0.0326156616211,4.9919128418
70.85,0.0259399414062,-0.0356674194336,4.98886108398
70.86,0.0228881835938,-0.0356674194336,4.98886108398
70.87,0.0289916992188,-0.0326156616211,4.9919128418
70.88,0.0228881835938,-0.0326156616211,4.98886108398
70.89,0.0259399414062,-0.0295639038086,4.98580932617
70.9,0.0259399414062,-0.0295639038086,4.98886108398
70.91,0.0259399414062,-0.0295639038086,4.98886108398
70.92,0.0259399414062,-0.0326156616211,4.98886108398
70.93,0.0259399414062,-0.0265121459961,4.9919128418
70.94,0.0228881835938,-0.0295639038086,4.98580932617
70.95,0.0167846679688,-0.0265121459961,4.98580932617
70.96,0.0228881835938,-0.0295639038086,4.9919128418
70.97,0.0198364257812,-0.0295639038086,4.9919128418
70.98,0.0137329101562,-0.0265121459961,4.9919128418
70.99,0.0198364257812,-0.0295639038086,4.9919128418
71,0.0167846679688,-0.0265121459961,4.98275756836
71.01,0.0198364257812,-0.0356674194336,4.9919128418
71.02,0.0259399414062,-0.0265121459961,4.98886108398
71.03,0.0259399414062,-0.0326156616211,4.98886108398
71.04,0.0259399414062,-0.0356674194336,4.9919128418
71.05,0.0259399414062,-0.0326156616211,4.98886108398
71.06,0.0198364257812,-0.0417709350586,4.98886108398
71.07,0.0289916992188,-0.0326156616211,4.98886108398
71.08,0.0228881835938,-0.0326156616211,4.98886108398
71.09,0.0259399414062,-0.0295639038086,4.9919128418
71.1,0.0259399414062,-0.0326156616211,4.98275756836
71.11,0.0259399414062,-0.0234603881836,4.98580932617
71.12,0.0259399414062,-0.0326156616211,4.98580932617
71.13,0.0228881835938,-0.0265121459961,4.98580932617
71.14,0.0228881835938,-0.0295639038086,4.9919128418
71.15,0.0228881835938,-0.0265121459961,4.9919128418
71.16,0.0137329101562,-0.0234603881836,4.9919128418
71.17,0.0137329101562,-0.0295639038086,4.9919128418
71.18,0.0167846679688,-0.0265121459961,4.98275756836
71.19,0.0167846679688,-0.0326156616211,4.9919128418
71.2,0.0259399414062,-0.0265121459961,4.98886108398
71.21,0.0259399414062,-0.0326156616211,4.9919128418
71.22,0.0289916992188,-0.0326156616211,4.98886108398
71.23,0.0259399414062,-0.0326156616211,4.98886108398
71.24,0.0198364257812,-0.0387191772461,4.98886108398
71.25,0.0259399414062,-0.0326156616211,4.98886108398
71.26,0.0228881835938,-0.0326156616211,4.98886108398
71.27,0.0259399414062,-0.0265121459961,4.9919128418
71.28,0.0259399414062,-0.0295639038086,4.98580932617
71.29,0.0259399414062,-0.0234603881836,4.98580932617
71.3,0.0259399414062,-0.0326156616211,4.98886108398
71.31,0.0259399414062,-0.0265121459961,4.98886108398
71.32,0.0228881835938,-0.0295639038086,4.9919128418
71.33,0.0167846679688,-0.0265121459961,4.9919128418
71.34,0.0167846679688,-0.0265121459961,4.9919128418
71.35,0.0137329101562,-0.0295639038086,4.9919128418
71.36,0.0198364257812,-0.0265121459961,4.98580932617
71.37,0.0198364257812,-0.0295639038086,4.9919128418
71.38,0.0259399414062,-0.0265121459961,4.98886108398
71.39,0.0259399414062,-0.0387191772461,4.9919128418
71.4,0.0259399414062,-0.0295639038086,4.9919128418
71.41,0.0259399414062,-0.0356674194336,4.98886108398
71.42,0.0228881835938,-0.0326156616211,4.98886108398
71.43,0.0289916992188,-0.0295639038086,4.98886108398
71.44,0.0228881835938,-0.0417709350586,4.98580932617
